Sign1,Sign2,Compatibility_rate,Sign1_Modality,Sign1_Element,Sign2_Modality,Sign2_Element,same_element,fire_air_pair,earth_water_pair,opposing_elements,fixed_fixed_pair,mutable_mutable_pair,cardinal_fixed_pair,cardinal_mutable_pair,fixed_mutable_pair,Sign1_Trait1,Sign1_Trait2,Sign1_Trait3,Sign1_Trait4,Sign1_Trait5,Sign1_Trait6,Sign1_Trait7,Sign1_Trait8,Sign2_Trait1,Sign2_Trait2,Sign2_Trait3,Sign2_Trait4,Sign2_Trait5,Sign2_Trait6,Sign2_Trait7,Sign2_Trait8
Taurus,Virgo,0.9,Fixed,Earth,Mutable,Earth,1,0,0,0,0,0,0,0,1,Patient,reliable,warmhearted,loving,persistent,determined,placid,security-loving,Modest,shy,meticulous,reliable,practical,diligent,intelligent,analytical
Sagittarius,Aries,0.93,Mutable,Fire,Cardinal,Fire,1,0,0,0,0,0,0,1,0,Optimistic,freedom-loving,jovial,good-humored,honest,straightforward,intellectual,philosophical,Adventurous,energetic,pioneering,courageous,enthusiastic,confident,dynamic,quick-witted
Cancer,Virgo,0.9,Cardinal,Water,Mutable,Earth,0,0,1,0,0,0,0,1,0,Emotional,loving,intuitive,imaginative,shrewd,cautious,protective,sympathetic,Modest,shy,meticulous,reliable,practical,diligent,intelligent,analytical
Virgo,Virgo,0.65,Mutable,Earth,Mutable,Earth,1,0,0,0,0,1,0,0,0,Modest,shy,meticulous,reliable,practical,diligent,intelligent,analytical,Modest,shy,meticulous,reliable,practical,diligent,intelligent,analytical
Virgo,Gemini,0.68,Mutable,Earth,Mutable,Air,0,0,0,1,0,1,0,0,0,Modest,shy,meticulous,reliable,practical,diligent,intelligent,analytical,Adaptable,versatile,communicative,witty,intellectual,eloquent,youthful,lively
Cancer,Libra,0.43,Cardinal,Water,Cardinal,Air,0,0,0,0,0,0,0,0,0,Emotional,loving,intuitive,imaginative,shrewd,cautious,protective,sympathetic,Diplomatic,urbane,romantic,charming,easygoing,sociable,idealistic,peaceable
Sagittarius,Sagittarius,0.45,Mutable,Fire,Mutable,Fire,1,0,0,0,0,1,0,0,0,Optimistic,freedom-loving,jovial,good-humored,honest,straightforward,intellectual,philosophical,Optimistic,freedom-loving,jovial,good-humored,honest,straightforward,intellectual,philosophical
Taurus,Scorpio,0.88,Fixed,Earth,Fixed,Water,0,0,1,0,1,0,0,0,0,Patient,reliable,warmhearted,loving,persistent,determined,placid,security-loving,Determined,forceful,emotional,intuitive,powerful,passionate,exciting,magnetic
Scorpio,Taurus,0.88,Fixed,Water,Fixed,Earth,0,0,1,0,1,0,0,0,0,Determined,forceful,emotional,intuitive,powerful,passionate,exciting,magnetic,Patient,reliable,warmhearted,loving,persistent,determined,placid,security-loving
Gemini,Libra,0.93,Mutable,Air,Cardinal,Air,1,0,0,0,0,0,0,1,0,Adaptable,versatile,communicative,witty,intellectual,eloquent,youthful,lively,Diplomatic,urbane,romantic,charming,easygoing,sociable,idealistic,peaceable
Taurus,Libra,0.65,Fixed,Earth,Cardinal,Air,0,0,0,1,0,0,1,0,0,Patient,reliable,warmhearted,loving,persistent,determined,placid,security-loving,Diplomatic,urbane,romantic,charming,easygoing,sociable,idealistic,peaceable
Aries,Aquarius,0.78,Cardinal,Fire,Fixed,Air,0,1,0,0,0,0,1,0,0,Adventurous,energetic,pioneering,courageous,enthusiastic,confident,dynamic,quick-witted,Friendly,humanitarian,honest,loyal,original,inventive,independent,intellectual
Libra,Libra,0.75,Cardinal,Air,Cardinal,Air,1,0,0,0,0,0,0,0,0,Diplomatic,urbane,romantic,charming,easygoing,sociable,idealistic,peaceable,Diplomatic,urbane,romantic,charming,easygoing,sociable,idealistic,peaceable
Sagittarius,Libra,0.73,Mutable,Fire,Cardinal,Air,0,1,0,0,0,0,0,1,0,Optimistic,freedom-loving,jovial,good-humored,honest,straightforward,intellectual,philosophical,Diplomatic,urbane,romantic,charming,easygoing,sociable,idealistic,peaceable
Libra,Virgo,0.68,Cardinal,Air,Mutable,Earth,0,0,0,1,0,0,0,1,0,Diplomatic,urbane,romantic,charming,easygoing,sociable,idealistic,peaceable,Modest,shy,meticulous,reliable,practical,diligent,intelligent,analytical
Sagittarius,Aquarius,0.9,Mutable,Fire,Fixed,Air,0,1,0,0,0,0,0,0,1,Optimistic,freedom-loving,jovial,good-humored,honest,straightforward,intellectual,philosophical,Friendly,humanitarian,honest,loyal,original,inventive,independent,intellectual
Scorpio,Aries,0.5,Fixed,Water,Cardinal,Fire,0,0,0,1,0,0,1,0,0,Determined,forceful,emotional,intuitive,powerful,passionate,exciting,magnetic,Adventurous,energetic,pioneering,courageous,enthusiastic,confident,dynamic,quick-witted
Aries,Leo,0.97,Cardinal,Fire,Fixed,Fire,1,0,0,0,0,0,1,0,0,Adventurous,energetic,pioneering,courageous,enthusiastic,confident,dynamic,quick-witted,Generous,warmhearted,creative,enthusiastic,broad-minded,expansive,faithful,loving
Cancer,Cancer,0.75,Cardinal,Water,Cardinal,Water,1,0,0,0,0,0,0,0,0,Emotional,loving,intuitive,imaginative,shrewd,cautious,protective,sympathetic,Emotional,loving,intuitive,imaginative,shrewd,cautious,protective,sympathetic
Taurus,Sagittarius,0.3,Fixed,Earth,Mutable,Fire,0,0,0,0,0,0,0,0,1,Patient,reliable,warmhearted,loving,persistent,determined,placid,security-loving,Optimistic,freedom-loving,jovial,good-humored,honest,straightforward,intellectual,philosophical
Aquarius,Aquarius,0.45,Fixed,Air,Fixed,Air,1,0,0,0,1,0,0,0,0,Friendly,humanitarian,honest,loyal,original,inventive,independent,intellectual,Friendly,humanitarian,honest,loyal,original,inventive,independent,intellectual
Leo,Gemini,0.88,Fixed,Fire,Mutable,Air,0,1,0,0,0,0,0,0,1,Generous,warmhearted,creative,enthusiastic,broad-minded,expansive,faithful,loving,Adaptable,versatile,communicative,witty,intellectual,eloquent,youthful,lively
Cancer,Scorpio,0.94,Cardinal,Water,Fixed,Water,1,0,0,0,0,0,1,0,0,Emotional,loving,intuitive,imaginative,shrewd,cautious,protective,sympathetic,Determined,forceful,emotional,intuitive,powerful,passionate,exciting,magnetic
Pisces,Libra,0.88,Mutable,Water,Cardinal,Air,0,0,0,0,0,0,0,1,0,Imaginative,sensitive,compassionate,kind,selfless,unworldly,intuitive,sympathetic,Diplomatic,urbane,romantic,charming,easygoing,sociable,idealistic,peaceable
Aquarius,Aries,0.78,Fixed,Air,Cardinal,Fire,0,1,0,0,0,0,1,0,0,Friendly,humanitarian,honest,loyal,original,inventive,independent,intellectual,Adventurous,energetic,pioneering,courageous,enthusiastic,confident,dynamic,quick-witted
Leo,Virgo,0.35,Fixed,Fire,Mutable,Earth,0,0,0,0,0,0,0,0,1,Generous,warmhearted,creative,enthusiastic,broad-minded,expansive,faithful,loving,Modest,shy,meticulous,reliable,practical,diligent,intelligent,analytical
Virgo,Aries,0.63,Mutable,Earth,Cardinal,Fire,0,0,0,0,0,0,0,1,0,Modest,shy,meticulous,reliable,practical,diligent,intelligent,analytical,Adventurous,energetic,pioneering,courageous,enthusiastic,confident,dynamic,quick-witted
Aquarius,Scorpio,0.73,Fixed,Air,Fixed,Water,0,0,0,0,1,0,0,0,0,Friendly,humanitarian,honest,loyal,original,inventive,independent,intellectual,Determined,forceful,emotional,intuitive,powerful,passionate,exciting,magnetic
Gemini,Virgo,0.68,Mutable,Air,Mutable,Earth,0,0,0,1,0,1,0,0,0,Adaptable,versatile,communicative,witty,intellectual,eloquent,youthful,lively,Modest,shy,meticulous,reliable,practical,diligent,intelligent,analytical
Sagittarius,Virgo,0.48,Mutable,Fire,Mutable,Earth,0,0,0,0,0,1,0,0,0,Optimistic,freedom-loving,jovial,good-humored,honest,straightforward,intellectual,philosophical,Modest,shy,meticulous,reliable,practical,diligent,intelligent,analytical
Virgo,Cancer,0.9,Mutable,Earth,Cardinal,Water,0,0,1,0,0,0,0,1,0,Modest,shy,meticulous,reliable,practical,diligent,intelligent,analytical,Emotional,loving,intuitive,imaginative,shrewd,cautious,protective,sympathetic
Capricorn,Sagittarius,0.6,Cardinal,Earth,Mutable,Fire,0,0,0,0,0,0,0,1,0,Practical,prudent,ambitious,disciplined,patient,careful,humorous,reserved,Optimistic,freedom-loving,jovial,good-humored,honest,straightforward,intellectual,philosophical
Sagittarius,Cancer,0.53,Mutable,Fire,Cardinal,Water,0,0,0,1,0,0,0,1,0,Optimistic,freedom-loving,jovial,good-humored,honest,straightforward,intellectual,philosophical,Emotional,loving,intuitive,imaginative,shrewd,cautious,protective,sympathetic
Scorpio,Scorpio,0.8,Fixed,Water,Fixed,Water,1,0,0,0,1,0,0,0,0,Determined,forceful,emotional,intuitive,powerful,passionate,exciting,magnetic,Determined,forceful,emotional,intuitive,powerful,passionate,exciting,magnetic
Pisces,Sagittarius,0.63,Mutable,Water,Mutable,Fire,0,0,0,1,0,1,0,0,0,Imaginative,sensitive,compassionate,kind,selfless,unworldly,intuitive,sympathetic,Optimistic,freedom-loving,jovial,good-humored,honest,straightforward,intellectual,philosophical
Pisces,Taurus,0.85,Mutable,Water,Fixed,Earth,0,0,1,0,0,0,0,0,1,Imaginative,sensitive,compassionate,kind,selfless,unworldly,intuitive,sympathetic,Patient,reliable,warmhearted,loving,persistent,determined,placid,security-loving
Scorpio,Pisces,0.97,Fixed,Water,Mutable,Water,1,0,0,0,0,0,0,0,1,Determined,forceful,emotional,intuitive,powerful,passionate,exciting,magnetic,Imaginative,sensitive,compassionate,kind,selfless,unworldly,intuitive,sympathetic
Cancer,Aries,0.42,Cardinal,Water,Cardinal,Fire,0,0,0,1,0,0,0,0,0,Emotional,loving,intuitive,imaginative,shrewd,cautious,protective,sympathetic,Adventurous,energetic,pioneering,courageous,enthusiastic,confident,dynamic,quick-witted
Pisces,Pisces,0.6,Mutable,Water,Mutable,Water,1,0,0,0,0,1,0,0,0,Imaginative,sensitive,compassionate,kind,selfless,unworldly,intuitive,sympathetic,Imaginative,sensitive,compassionate,kind,selfless,unworldly,intuitive,sympathetic
Capricorn,Aries,0.47,Cardinal,Earth,Cardinal,Fire,0,0,0,0,0,0,0,0,0,Practical,prudent,ambitious,disciplined,patient,careful,humorous,reserved,Adventurous,energetic,pioneering,courageous,enthusiastic,confident,dynamic,quick-witted
Pisces,Capricorn,0.88,Mutable,Water,Cardinal,Earth,0,0,1,0,0,0,0,1,0,Imaginative,sensitive,compassionate,kind,selfless,unworldly,intuitive,sympathetic,Practical,prudent,ambitious,disciplined,patient,careful,humorous,reserved
Scorpio,Aquarius,0.73,Fixed,Water,Fixed,Air,0,0,0,0,1,0,0,0,0,Determined,forceful,emotional,intuitive,powerful,passionate,exciting,magnetic,Friendly,humanitarian,honest,loyal,original,inventive,independent,intellectual
Taurus,Leo,0.73,Fixed,Earth,Fixed,Fire,0,0,0,0,1,0,0,0,0,Patient,reliable,warmhearted,loving,persistent,determined,placid,security-loving,Generous,warmhearted,creative,enthusiastic,broad-minded,expansive,faithful,loving
Aries,Libra,0.85,Cardinal,Fire,Cardinal,Air,0,1,0,0,0,0,0,0,0,Adventurous,energetic,pioneering,courageous,enthusiastic,confident,dynamic,quick-witted,Diplomatic,urbane,romantic,charming,easygoing,sociable,idealistic,peaceable
Scorpio,Virgo,0.88,Fixed,Water,Mutable,Earth,0,0,1,0,0,0,0,0,1,Determined,forceful,emotional,intuitive,powerful,passionate,exciting,magnetic,Modest,shy,meticulous,reliable,practical,diligent,intelligent,analytical
Libra,Pisces,0.88,Cardinal,Air,Mutable,Water,0,0,0,0,0,0,0,1,0,Diplomatic,urbane,romantic,charming,easygoing,sociable,idealistic,peaceable,Imaginative,sensitive,compassionate,kind,selfless,unworldly,intuitive,sympathetic
Aquarius,Taurus,0.58,Fixed,Air,Fixed,Earth,0,0,0,1,1,0,0,0,0,Friendly,humanitarian,honest,loyal,original,inventive,independent,intellectual,Patient,reliable,warmhearted,loving,persistent,determined,placid,security-loving
Aquarius,Leo,0.68,Fixed,Air,Fixed,Fire,0,1,0,0,1,0,0,0,0,Friendly,humanitarian,honest,loyal,original,inventive,independent,intellectual,Generous,warmhearted,creative,enthusiastic,broad-minded,expansive,faithful,loving
Cancer,Sagittarius,0.53,Cardinal,Water,Mutable,Fire,0,0,0,1,0,0,0,1,0,Emotional,loving,intuitive,imaginative,shrewd,cautious,protective,sympathetic,Optimistic,freedom-loving,jovial,good-humored,honest,straightforward,intellectual,philosophical
Gemini,Scorpio,0.28,Mutable,Air,Fixed,Water,0,0,0,0,0,0,0,0,1,Adaptable,versatile,communicative,witty,intellectual,eloquent,youthful,lively,Determined,forceful,emotional,intuitive,powerful,passionate,exciting,magnetic
Pisces,Scorpio,0.97,Mutable,Water,Fixed,Water,1,0,0,0,0,0,0,0,1,Imaginative,sensitive,compassionate,kind,selfless,unworldly,intuitive,sympathetic,Determined,forceful,emotional,intuitive,powerful,passionate,exciting,magnetic
Sagittarius,Taurus,0.3,Mutable,Fire,Fixed,Earth,0,0,0,0,0,0,0,0,1,Optimistic,freedom-loving,jovial,good-humored,honest,straightforward,intellectual,philosophical,Patient,reliable,warmhearted,loving,persistent,determined,placid,security-loving
Virgo,Aquarius,0.3,Mutable,Earth,Fixed,Air,0,0,0,1,0,0,0,0,1,Modest,shy,meticulous,reliable,practical,diligent,intelligent,analytical,Friendly,humanitarian,honest,loyal,original,inventive,independent,intellectual
Aquarius,Gemini,0.85,Fixed,Air,Mutable,Air,1,0,0,0,0,0,0,0,1,Friendly,humanitarian,honest,loyal,original,inventive,independent,intellectual,Adaptable,versatile,communicative,witty,intellectual,eloquent,youthful,lively
Leo,Libra,0.97,Fixed,Fire,Cardinal,Air,0,1,0,0,0,0,1,0,0,Generous,warmhearted,creative,enthusiastic,broad-minded,expansive,faithful,loving,Diplomatic,urbane,romantic,charming,easygoing,sociable,idealistic,peaceable
Capricorn,Leo,0.35,Cardinal,Earth,Fixed,Fire,0,0,0,0,0,0,1,0,0,Practical,prudent,ambitious,disciplined,patient,careful,humorous,reserved,Generous,warmhearted,creative,enthusiastic,broad-minded,expansive,faithful,loving
Virgo,Leo,0.35,Mutable,Earth,Fixed,Fire,0,0,0,0,0,0,0,0,1,Modest,shy,meticulous,reliable,practical,diligent,intelligent,analytical,Generous,warmhearted,creative,enthusiastic,broad-minded,expansive,faithful,loving
Cancer,Leo,0.35,Cardinal,Water,Fixed,Fire,0,0,0,1,0,0,1,0,0,Emotional,loving,intuitive,imaginative,shrewd,cautious,protective,sympathetic,Generous,warmhearted,creative,enthusiastic,broad-minded,expansive,faithful,loving
Taurus,Aries,0.38,Fixed,Earth,Cardinal,Fire,0,0,0,0,0,0,1,0,0,Patient,reliable,warmhearted,loving,persistent,determined,placid,security-loving,Adventurous,energetic,pioneering,courageous,enthusiastic,confident,dynamic,quick-witted
Capricorn,Gemini,0.68,Cardinal,Earth,Mutable,Air,0,0,0,1,0,0,0,1,0,Practical,prudent,ambitious,disciplined,patient,careful,humorous,reserved,Adaptable,versatile,communicative,witty,intellectual,eloquent,youthful,lively
Scorpio,Capricorn,0.95,Fixed,Water,Cardinal,Earth,0,0,1,0,0,0,1,0,0,Determined,forceful,emotional,intuitive,powerful,passionate,exciting,magnetic,Practical,prudent,ambitious,disciplined,patient,careful,humorous,reserved
Taurus,Capricorn,0.98,Fixed,Earth,Cardinal,Earth,1,0,0,0,0,0,1,0,0,Patient,reliable,warmhearted,loving,persistent,determined,placid,security-loving,Practical,prudent,ambitious,disciplined,patient,careful,humorous,reserved
Gemini,Taurus,0.33,Mutable,Air,Fixed,Earth,0,0,0,1,0,0,0,0,1,Adaptable,versatile,communicative,witty,intellectual,eloquent,youthful,lively,Patient,reliable,warmhearted,loving,persistent,determined,placid,security-loving
Gemini,Gemini,0.6,Mutable,Air,Mutable,Air,1,0,0,0,0,1,0,0,0,Adaptable,versatile,communicative,witty,intellectual,eloquent,youthful,lively,Adaptable,versatile,communicative,witty,intellectual,eloquent,youthful,lively
Aries,Taurus,0.38,Cardinal,Fire,Fixed,Earth,0,0,0,0,0,0,1,0,0,Adventurous,energetic,pioneering,courageous,enthusiastic,confident,dynamic,quick-witted,Patient,reliable,warmhearted,loving,persistent,determined,placid,security-loving
Virgo,Scorpio,0.88,Mutable,Earth,Fixed,Water,0,0,1,0,0,0,0,0,1,Modest,shy,meticulous,reliable,practical,diligent,intelligent,analytical,Determined,forceful,emotional,intuitive,powerful,passionate,exciting,magnetic
Taurus,Cancer,0.97,Fixed,Earth,Cardinal,Water,0,0,1,0,0,0,1,0,0,Patient,reliable,warmhearted,loving,persistent,determined,placid,security-loving,Emotional,loving,intuitive,imaginative,shrewd,cautious,protective,sympathetic
Virgo,Sagittarius,0.48,Mutable,Earth,Mutable,Fire,0,0,0,0,0,1,0,0,0,Modest,shy,meticulous,reliable,practical,diligent,intelligent,analytical,Optimistic,freedom-loving,jovial,good-humored,honest,straightforward,intellectual,philosophical
Libra,Scorpio,0.35,Cardinal,Air,Fixed,Water,0,0,0,0,0,0,1,0,0,Diplomatic,urbane,romantic,charming,easygoing,sociable,idealistic,peaceable,Determined,forceful,emotional,intuitive,powerful,passionate,exciting,magnetic
Gemini,Aries,0.83,Mutable,Air,Cardinal,Fire,0,1,0,0,0,0,0,1,0,Adaptable,versatile,communicative,witty,intellectual,eloquent,youthful,lively,Adventurous,energetic,pioneering,courageous,enthusiastic,confident,dynamic,quick-witted
Libra,Cancer,0.43,Cardinal,Air,Cardinal,Water,0,0,0,0,0,0,0,0,0,Diplomatic,urbane,romantic,charming,easygoing,sociable,idealistic,peaceable,Emotional,loving,intuitive,imaginative,shrewd,cautious,protective,sympathetic
Gemini,Aquarius,0.85,Mutable,Air,Fixed,Air,1,0,0,0,0,0,0,0,1,Adaptable,versatile,communicative,witty,intellectual,eloquent,youthful,lively,Friendly,humanitarian,honest,loyal,original,inventive,independent,intellectual
Leo,Sagittarius,0.93,Fixed,Fire,Mutable,Fire,1,0,0,0,0,0,0,0,1,Generous,warmhearted,creative,enthusiastic,broad-minded,expansive,faithful,loving,Optimistic,freedom-loving,jovial,good-humored,honest,straightforward,intellectual,philosophical
Libra,Aquarius,0.9,Cardinal,Air,Fixed,Air,1,0,0,0,0,0,1,0,0,Diplomatic,urbane,romantic,charming,easygoing,sociable,idealistic,peaceable,Friendly,humanitarian,honest,loyal,original,inventive,independent,intellectual
Capricorn,Cancer,0.83,Cardinal,Earth,Cardinal,Water,0,0,1,0,0,0,0,0,0,Practical,prudent,ambitious,disciplined,patient,careful,humorous,reserved,Emotional,loving,intuitive,imaginative,shrewd,cautious,protective,sympathetic
Aries,Gemini,0.83,Cardinal,Fire,Mutable,Air,0,1,0,0,0,0,0,1,0,Adventurous,energetic,pioneering,courageous,enthusiastic,confident,dynamic,quick-witted,Adaptable,versatile,communicative,witty,intellectual,eloquent,youthful,lively
Libra,Gemini,0.93,Cardinal,Air,Mutable,Air,1,0,0,0,0,0,0,1,0,Diplomatic,urbane,romantic,charming,easygoing,sociable,idealistic,peaceable,Adaptable,versatile,communicative,witty,intellectual,eloquent,youthful,lively
Aquarius,Virgo,0.3,Fixed,Air,Mutable,Earth,0,0,0,1,0,0,0,0,1,Friendly,humanitarian,honest,loyal,original,inventive,independent,intellectual,Modest,shy,meticulous,reliable,practical,diligent,intelligent,analytical
Virgo,Libra,0.69,Mutable,Earth,Cardinal,Air,0,0,0,1,0,0,0,1,0,Modest,shy,meticulous,reliable,practical,diligent,intelligent,analytical,Diplomatic,urbane,romantic,charming,easygoing,sociable,idealistic,peaceable
Libra,Aries,0.85,Cardinal,Air,Cardinal,Fire,0,1,0,0,0,0,0,0,0,Diplomatic,urbane,romantic,charming,easygoing,sociable,idealistic,peaceable,Adventurous,energetic,pioneering,courageous,enthusiastic,confident,dynamic,quick-witted
Scorpio,Sagittarius,0.28,Fixed,Water,Mutable,Fire,0,0,0,1,0,0,0,0,1,Determined,forceful,emotional,intuitive,powerful,passionate,exciting,magnetic,Optimistic,freedom-loving,jovial,good-humored,honest,straightforward,intellectual,philosophical
Gemini,Capricorn,0.69,Mutable,Air,Cardinal,Earth,0,0,0,1,0,0,0,1,0,Adaptable,versatile,communicative,witty,intellectual,eloquent,youthful,lively,Practical,prudent,ambitious,disciplined,patient,careful,humorous,reserved
Pisces,Cancer,0.98,Mutable,Water,Cardinal,Water,1,0,0,0,0,0,0,1,0,Imaginative,sensitive,compassionate,kind,selfless,unworldly,intuitive,sympathetic,Emotional,loving,intuitive,imaginative,shrewd,cautious,protective,sympathetic
Leo,Leo,0.45,Fixed,Fire,Fixed,Fire,1,0,0,0,1,0,0,0,0,Generous,warmhearted,creative,enthusiastic,broad-minded,expansive,faithful,loving,Generous,warmhearted,creative,enthusiastic,broad-minded,expansive,faithful,loving
Aries,Sagittarius,0.93,Cardinal,Fire,Mutable,Fire,1,0,0,0,0,0,0,1,0,Adventurous,energetic,pioneering,courageous,enthusiastic,confident,dynamic,quick-witted,Optimistic,freedom-loving,jovial,good-humored,honest,straightforward,intellectual,philosophical
Leo,Cancer,0.35,Fixed,Fire,Cardinal,Water,0,0,0,1,0,0,1,0,0,Generous,warmhearted,creative,enthusiastic,broad-minded,expansive,faithful,loving,Emotional,loving,intuitive,imaginative,shrewd,cautious,protective,sympathetic
Leo,Pisces,0.38,Fixed,Fire,Mutable,Water,0,0,0,1,0,0,0,0,1,Generous,warmhearted,creative,enthusiastic,broad-minded,expansive,faithful,loving,Imaginative,sensitive,compassionate,kind,selfless,unworldly,intuitive,sympathetic
Aquarius,Cancer,0.27,Fixed,Air,Cardinal,Water,0,0,0,0,0,0,1,0,0,Friendly,humanitarian,honest,loyal,original,inventive,independent,intellectual,Emotional,loving,intuitive,imaginative,shrewd,cautious,protective,sympathetic
Capricorn,Capricorn,0.75,Cardinal,Earth,Cardinal,Earth,1,0,0,0,0,0,0,0,0,Practical,prudent,ambitious,disciplined,patient,careful,humorous,reserved,Practical,prudent,ambitious,disciplined,patient,careful,humorous,reserved
Pisces,Virgo,0.88,Mutable,Water,Mutable,Earth,0,0,1,0,0,1,0,0,0,Imaginative,sensitive,compassionate,kind,selfless,unworldly,intuitive,sympathetic,Modest,shy,meticulous,reliable,practical,diligent,intelligent,analytical
Aries,Capricorn,0.47,Cardinal,Fire,Cardinal,Earth,0,0,0,0,0,0,0,0,0,Adventurous,energetic,pioneering,courageous,enthusiastic,confident,dynamic,quick-witted,Practical,prudent,ambitious,disciplined,patient,careful,humorous,reserved
Leo,Scorpio,0.58,Fixed,Fire,Fixed,Water,0,0,0,1,1,0,0,0,0,Generous,warmhearted,creative,enthusiastic,broad-minded,expansive,faithful,loving,Determined,forceful,emotional,intuitive,powerful,passionate,exciting,magnetic
Scorpio,Leo,0.58,Fixed,Water,Fixed,Fire,0,0,0,1,1,0,0,0,0,Determined,forceful,emotional,intuitive,powerful,passionate,exciting,magnetic,Generous,warmhearted,creative,enthusiastic,broad-minded,expansive,faithful,loving
Sagittarius,Scorpio,0.28,Mutable,Fire,Fixed,Water,0,0,0,1,0,0,0,0,1,Optimistic,freedom-loving,jovial,good-humored,honest,straightforward,intellectual,philosophical,Determined,forceful,emotional,intuitive,powerful,passionate,exciting,magnetic
Aries,Virgo,0.63,Cardinal,Fire,Mutable,Earth,0,0,0,0,0,0,0,1,0,Adventurous,energetic,pioneering,courageous,enthusiastic,confident,dynamic,quick-witted,Modest,shy,meticulous,reliable,practical,diligent,intelligent,analytical
Virgo,Taurus,0.9,Mutable,Earth,Fixed,Earth,1,0,0,0,0,0,0,0,1,Modest,shy,meticulous,reliable,practical,diligent,intelligent,analytical,Patient,reliable,warmhearted,loving,persistent,determined,placid,security-loving
Capricorn,Scorpio,0.95,Cardinal,Earth,Fixed,Water,0,0,1,0,0,0,1,0,0,Practical,prudent,ambitious,disciplined,patient,careful,humorous,reserved,Determined,forceful,emotional,intuitive,powerful,passionate,exciting,magnetic
Sagittarius,Capricorn,0.6,Mutable,Fire,Cardinal,Earth,0,0,0,0,0,0,0,1,0,Optimistic,freedom-loving,jovial,good-humored,honest,straightforward,intellectual,philosophical,Practical,prudent,ambitious,disciplined,patient,careful,humorous,reserved
Aquarius,Capricorn,0.69,Fixed,Air,Cardinal,Earth,0,0,0,1,0,0,1,0,0,Friendly,humanitarian,honest,loyal,original,inventive,independent,intellectual,Practical,prudent,ambitious,disciplined,patient,careful,humorous,reserved
Taurus,Taurus,0.58,Fixed,Earth,Fixed,Earth,1,0,0,0,1,0,0,0,0,Patient,reliable,warmhearted,loving,persistent,determined,placid,security-loving,Patient,reliable,warmhearted,loving,persistent,determined,placid,security-loving
